BLOCK_NUMBER,BLOCK_TIMESTAMP,TX_HASH,ORIGIN_FUNCTION_SIGNATURE,ORIGIN_FROM_ADDRESS,ORIGIN_TO_ADDRESS,CONTRACT_ADDRESS,POOL_NAME,EVENT_NAME,AMOUNT_IN,AMOUNT_IN_USD,AMOUNT_OUT,AMOUNT_OUT_USD,SENDER,TX_TO,EVENT_INDEX,PLATFORM,TOKEN_IN,TOKEN_OUT,SYMBOL_IN,SYMBOL_OUT,_LOG_ID
14159922,2022-02-07 16:07:16.000,0xab8813abb4f6c1f1c139112900fa150f0d2e35dd5254985013c171b39378a049,0x791ac947,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,0x0bd2b9116f1e2f88e4fd4cc0fce3e15178de8df5,TKNFY-WETH SLP,Swap,88489.197582885,2286.245818198,0.7367809098,2304.932109726,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,114,sushiswap,0xa6dd98031551c23bb4a2fbe2c4d524e8f737c6f7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,TKNFY,WETH,0xab8813abb4f6c1f1c139112900fa150f0d2e35dd5254985013c171b39378a049-114
14032124,2022-01-18 22:03:08.000,0x8208a9eb005056561a67d2a12a37ac1ee1c5317df8229c4b66d2b6902d1a9f4a,0x5c11d795,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,WETH-USDT UNI-V2 LP,Swap,0.2119640546,671.731260509,669.366524,669.707502634,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,437,uniswap-v2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,WETH,USDT,0x8208a9eb005056561a67d2a12a37ac1ee1c5317df8229c4b66d2b6902d1a9f4a-437
13893906,2021-12-28 13:06:13.000,0x8fba5edb63a0e3c177a3d54b37ca65b6f3600038c554d62d88b128bed8aa05d0,0x5ae401dc,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xd70a619a21e0e899b476f1dd50d32f351459ea52,MASK-WETH 10000 200,Swap,29124281967.6959,"null",0.8096367263,3175.11,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,54,uniswap-v3,0x241357313e802e16eeb9380f2b027224e90b56dd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,MASK,WETH,0x8fba5edb63a0e3c177a3d54b37ca65b6f3600038c554d62d88b128bed8aa05d0-54
13893906,2021-12-28 13:06:13.000,0x8fba5edb63a0e3c177a3d54b37ca65b6f3600038c554d62d88b128bed8aa05d0,0x5ae401dc,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xeb5c52e8af57334fab0b5f3d888990c108545527,WETH-WRLD 10000 200,Swap,0.8096367263,3175.11,37434.48729081,"null",0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,57,uniswap-v3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd5d86fc8d5c0ea1ac1ac5dfab6e529c9967a45e9,WETH,WRLD,0x8fba5edb63a0e3c177a3d54b37ca65b6f3600038c554d62d88b128bed8aa05d0-57
16631172,2023-02-15 02:30:23.000,0xe25b41471da2ca92ec96ac23dad2b0e1ec10ab9f17aa4fb5dca03d284aa0e006,0x3593564c,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0x6f41040b9e098c2ac4b88e27b50d4e9ab486781b,BLUR-WETH 10000 200,Swap,7500,6288.76,3.89673787,6061.03,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,224,uniswap-v3,0x5283d291dbcf85356a21ba090e6db59121208b44,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,BLUR,WETH,0xe25b41471da2ca92ec96ac23dad2b0e1ec10ab9f17aa4fb5dca03d284aa0e006-224
14070963,2022-01-24 22:13:13.000,0xdb5cb7019a41b5791350555ade716c3030bec2be72e3615c26a2d241cab0e912,0x5ae401dc,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x19363890e559d365e943604286e448a19ffead9c,MET-WETH 10000 200,Swap,0.5,1193.9,8189.416558814,"null",0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,466,uniswap-v3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1ffe8a8177d3c261600a8bd8080d424d64b7fbc2,WETH,MET,0xdb5cb7019a41b5791350555ade716c3030bec2be72e3615c26a2d241cab0e912-466
14076998,2022-01-25 20:49:57.000,0x87f12ed1e38d7d475ec389157fd936cccfebce56cdbb2d64a3c7232d7eefb00a,0x5ae401dc,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x19363890e559d365e943604286e448a19ffead9c,MET-WETH 10000 200,Swap,8189.416558814,"null",0.5178339193,1264.54,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,87,uniswap-v3,0x1ffe8a8177d3c261600a8bd8080d424d64b7fbc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,MET,WETH,0x87f12ed1e38d7d475ec389157fd936cccfebce56cdbb2d64a3c7232d7eefb00a-87
12070423,2021-03-19 16:57:32.000,0x42c42188bb053f8df075ef645b70438cfa801c94d4bf3125e83dd61b38dc97f6,0x7ff36ab5,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x610382c1968aa065a662e34e5a258cc64048324f,DOV-WETH UNI-V2 LP,Swap,0.23,418.987715396,7076.755333391,417.868936316,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,315,uniswap-v2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xac3211a5025414af2866ff09c23fc18bc97e79b1,WETH,DOV,0x42c42188bb053f8df075ef645b70438cfa801c94d4bf3125e83dd61b38dc97f6-315
11865745,2021-02-16 04:50:24.000,0x77cde36ee1bae575dd8ad9a6385c9a33d16fcaf2b0fe69a6c4c642acc9c9edb9,0x38ed1739,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xcd7989894bc033581532d2cd88da5db0a4b12859,WBTC-BADGER UNI-V2 LP,Swap,0.0100939,498.818088615,7.314340031,499.233940425,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,167,uniswap-v2,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x3472a5a71965499acd81997a54bba8d852c6e53d,WBTC,BADGER,0x77cde36ee1bae575dd8ad9a6385c9a33d16fcaf2b0fe69a6c4c642acc9c9edb9-167
15440301,2022-08-30 12:15:46.000,0xc153b3fe043189e07ce3206a3f4cd32763d46bae727daad5d6d5641dec4a1bb6,0x5ae401dc,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x11dbd1a0afc4f99574f59add5cd22a44fe103b9f,"null",Swap,0.3,473.554589361,856295337115571000000,"null",0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,228,uniswap-v2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2284c0100fc9146e7fa5ef9dceb1a822fbd6a403,WETH,"null",0xc153b3fe043189e07ce3206a3f4cd32763d46bae727daad5d6d5641dec4a1bb6-228
